,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
278139,RJ,BR,BRASIL,58556,MENDES,17,PSL,6396
278155,SP,BR,BRASIL,66990,MIRACATU,17,PSL,6585
278156,SP,BR,BRASIL,68756,PIRACICABA,17,PSL,59435
278157,SP,BR,BRASIL,70572,SANTO ANDRÉ,17,PSL,43520
278158,PR,BR,BRASIL,75957,IGUARAÇU,17,PSL,1858
278171,SC,BR,BRASIL,80632,CAMPO ALEGRE,17,PSL,6146
278829,PI,BR,BRASIL,12246,MILTON BRANDÃO,13,PT,3241
278830,RN,BR,BRASIL,16659,ENCANTO,13,PT,2999
278831,PE,BR,BRASIL,24651,JUPI,13,PT,7285
278853,MG,BR,BRASIL,46930,JACINTO,13,PT,3264
278854,MG,BR,BRASIL,49719,PEÇANHA,13,PT,4295
278855,SP,BR,BRASIL,61530,APIAÍ,13,PT,5069
278857,MT,BR,BRASIL,90220,TABAPORÃ,17,PSL,3331
278858,MS,BR,BRASIL,91880,SONORA,17,PSL,4293
278859,TO,BR,BRASIL,92088,CASEARA,17,PSL,915
278860,GO,BR,BRASIL,92690,BOM JESUS DE GOIÁS,17,PSL,6665
278979,GO,BR,BRASIL,92118,ALTO PARAÍSO DE GOIÁS,17,PSL,1454
278980,GO,BR,BRASIL,93017,CATALÃO,17,PSL,28634
278981,TO,BR,BRASIL,93556,FILADÉLFIA,17,PSL,1470
278982,GO,BR,BRASIL,94854,NAZÁRIO,17,PSL,3228
279655,SP,BR,BRASIL,64130,FERNANDO PRESTES,13,PT,671
279656,SP,BR,BRASIL,64432,GLICÉRIO,13,PT,956
279657,SP,BR,BRASIL,65595,ITAPUÍ,13,PT,1491
279658,SP,BR,BRASIL,65897,JACAREÍ,13,PT,13042
279659,SP,BR,BRASIL,71072,SÃO PAULO,13,PT,30317
279660,PR,BR,BRASIL,78077,REBOUÇAS,13,PT,4239
279674,SC,BR,BRASIL,81817,LACERDÓPOLIS,13,PT,322
279675,RS,BR,BRASIL,85855,CANELA,13,PT,5044
279676,RS,BR,BRASIL,88021,TUPANCI DO SUL,13,PT,329
279693,GO,BR,BRASIL,93050,CAVALCANTE,13,PT,3484
279694,RO,BR,BRASIL,809,CHUPINGUAIA,17,PSL,3057
279695,AM,BR,BRASIL,2992,CAAPIRANGA,17,PSL,1387
279696,AP,BR,BRASIL,6050,MACAPÁ,17,PSL,49807
279697,MA,BR,BRASIL,7226,CACHOEIRA GRANDE,17,PSL,531
279698,MA,BR,BRASIL,8877,RIACHÃO,17,PSL,2330
279709,PA,BR,BRASIL,5835,PARAUAPEBAS,13,PT,24632
279710,MA,BR,BRASIL,7153,ANAPURUS,13,PT,8094
279711,MA,BR,BRASIL,7633,CODÓ,13,PT,39224
279712,MA,BR,BRASIL,9296,SÍTIO NOVO,13,PT,7484
279713,PI,BR,BRASIL,10871,GILBUÉS,13,PT,4538
279714,PI,BR,BRASIL,12360,COCAL DE TELHA,13,PT,2836
279730,CE,BR,BRASIL,13897,FORTALEZA,13,PT,36793
279731,PB,BR,BRASIL,19003,RIACHÃO DO POÇO,13,PT,2309
279732,PE,BR,BRASIL,24856,MIRANDIBA,13,PT,7095
279733,BA,BR,BRASIL,30775,BARROCAS,13,PT,8478
279741,BA,BR,BRASIL,36692,JUAZEIRO,13,PT,35741
279742,BA,BR,BRASIL,37893,PILÃO ARCADO,13,PT,15767
279743,MG,BR,BRASIL,41190,BELA VISTA DE MINAS,13,PT,2997
279744,MG,BR,BRASIL,43133,CENTRAL DE MINAS,13,PT,1595
279760,SP,BR,BRASIL,62375,BOFETE,13,PT,1338
280452,PI,BR,BRASIL,10731,ESPERANTINA,17,PSL,5532
280453,CE,BR,BRASIL,14451,JATI,17,PSL,583
280454,PB,BR,BRASIL,19844,APARECIDA,17,PSL,1095
280470,MG,BR,BRASIL,40193,ÁGUAS VERMELHAS,17,PSL,1592
280478,MG,BR,BRASIL,44016,COUTO DE MAGALHÃES DE MINAS,17,PSL,567
280479,ES,BR,BRASIL,56553,ITAPEMIRIM,17,PSL,15785
280480,RJ,BR,BRASIL,58491,MAGÉ,17,PSL,43888
280491,SP,BR,BRASIL,62952,CAMPOS DO JORDÃO,17,PSL,18414
280492,SP,BR,BRASIL,63231,CATANDUVA,17,PSL,49732
280493,SP,BR,BRASIL,64190,FLOREAL,17,PSL,1230
280494,PR,BR,BRASIL,77275,ORTIGUEIRA,17,PSL,5510
280501,SP,BR,BRASIL,66494,LUCÉLIA,13,PT,2091
280502,PR,BR,BRASIL,75612,FORMOSA DO OESTE,13,PT,1431
280503,PR,BR,BRASIL,76090,IRETAMA,13,PT,3048
280514,RS,BR,BRASIL,84948,ÁGUA SANTA,13,PT,730
280515,GO,BR,BRASIL,92215,ANÁPOLIS,13,PT,13196
280516,GO,BR,BRASIL,92975,CAMPOS BELOS,13,PT,5442
280525,GO,BR,BRASIL,95613,POSSE,13,PT,8402
280526,MS,BR,BRASIL,98035,COSTA RICA,13,PT,4710
280527,PA,BR,BRASIL,4022,TAILÂNDIA,17,PSL,13392
280528,PI,BR,BRASIL,10480,SANTANA DO PIAUÍ,17,PSL,391
280540,PI,BR,BRASIL,10960,NOVA SANTA RITA,17,PSL,180
280541,CE,BR,BRASIL,13579,CAPISTRANO,17,PSL,1681
280542,PE,BR,BRASIL,24759,LAJEDO,17,PSL,6678
280557,ZZ,BR,BRASIL,29645,DÍLI,17,PSL,27
280558,BA,BR,BRASIL,37419,MUCURI,17,PSL,6847
280559,BA,BR,BRASIL,37427,MULUNGU DO MORRO,17,PSL,707
280560,MG,BR,BRASIL,40339,ALMENARA,17,PSL,5418
280561,MG,BR,BRASIL,40525,PALMÓPOLIS,17,PSL,1048
280562,MG,BR,BRASIL,40894,ARINOS,17,PSL,2892
281243,PR,BR,BRASIL,78859,SÃO JOSÉ DOS PINHAIS,17,PSL,61342
281244,SC,BR,BRASIL,83917,MARACAJÁ,17,PSL,3728
281245,PR,BR,BRASIL,84590,LUNARDELLI,17,PSL,1773
281259,GO,BR,BRASIL,93220,TEREZÓPOLIS DE GOIÁS,17,PSL,2735
281309,ES,BR,BRASIL,56316,CONCEIÇÃO DA BARRA,17,PSL,5405
281310,PI,BR,BRASIL,11894,SANTO INÁCIO DO PIAUÍ,13,PT,2034
281311,PB,BR,BRASIL,19143,MATINHAS,13,PT,2405
281322,SP,BR,BRASIL,65498,ITAPEVA,17,PSL,34188
281323,SP,BR,BRASIL,70939,SÃO JOSÉ DO BARREIRO,17,PSL,1273
281324,PR,BR,BRASIL,78417,SANTA CECÍLIA DO PAVÃO,17,PSL,1380
281325,AL,BR,BRASIL,28037,MESSIAS,13,PT,5415
281326,AL,BR,BRASIL,28410,PIRANHAS,13,PT,11252
281327,BA,BR,BRASIL,33510,BAIXA GRANDE,13,PT,7344
281328,BA,BR,BRASIL,36706,JUCURUÇU,13,PT,3875
281336,RS,BR,BRASIL,86924,LINHA NOVA,17,PSL,819
281337,MG,BR,BRASIL,46019,IGARAPÉ,13,PT,7712
281354,RJ,BR,BRASIL,58190,CAMPOS DOS GOYTACAZES,13,PT,25135
281355,RJ,BR,BRASIL,58190,CAMPOS DOS GOYTACAZES,13,PT,20529
